time_bin,counts,label
270182475.3438206,17,0
270182476.34382075,8,0
270182477.3438209,8,0
270182478.3438211,8,0
270182479.3438213,8,0
270182480.34382147,8,0
270182481.3438217,8,0
270182482.3438219,8,0
270182483.34382206,8,0
270182484.34382224,8,0
270182485.3438224,8,0
270182486.3438226,8,0
270182487.3438228,8,0
270182488.34382296,10,0
270182489.34382313,10,0
270182490.3438233,12,0
270182491.3438235,8,0
270182492.34382373,8,0
270182493.3438239,8,0
270182494.3438241,8,0
270182495.34382427,8,0
270182496.34382445,8,0
270182497.3438246,8,0
270182498.3438248,8,0
270182499.343825,8,0
270182500.34382516,8,0
270182501.34382534,8,0
270182502.3438255,8,0
270182503.3438257,8,0
270182504.34382594,8,0
270182505.3438261,8,0
270182506.3438263,8,0
270182507.3438265,8,0
270182508.34382665,8,0
270182509.34382683,8,0
270182510.343827,8,0
270182511.3438272,8,0
270182512.34382737,8,0
270182513.34382755,8,0
270182514.3438277,8,0
270182515.34382796,8,0
270182516.34382814,8,0
270182517.3438283,8,0
270182518.3438285,8,0
270182519.3438287,8,0
270182520.34382886,8,0
270182521.34382904,8,0
270182522.3438292,8,0
270182523.3438294,8,0
270182524.3438296,8,0
270182525.34382975,8,0
270182526.34383,8,0
270182527.34383017,8,0
270182528.34383035,8,0
270182529.3438305,8,0
270182530.3438307,8,0
270182531.3438309,8,0
270182532.34383106,8,0
270182533.34383124,8,0
270182534.3438314,8,0
270182535.3438316,8,0
270182536.3438318,8,0
270182537.343832,8,0
270182538.3438322,8,0
270182539.3438324,8,0
270182540.34383255,8,0
270182541.34383273,8,0
270182542.3438329,8,0
270182543.3438331,8,0
270182544.34383327,8,0
270182545.34383345,8,0
270182546.3438336,8,0
270182547.3438338,8,0
270182548.343834,8,0
270182549.3438342,8,0
270182550.3438344,8,0
270182551.3438346,8,0
270182552.34383476,8,0
270182553.34383494,8,0
270182554.3438351,8,0
270182555.3438353,8,0
270182556.3438355,8,0
270182557.34383565,8,0
270182558.34383583,8,0
270182559.343836,8,0
270182560.34383625,8,0
270182561.3438364,8,0
270182562.3438366,8,0
270182563.3438368,9,0
270182564.34383696,8,0
270182565.34383714,8,0
270182566.3438373,8,0
270182567.3438375,8,0
270182568.3438377,8,0
270182569.34383786,8,0
270182570.34383804,8,0
270182571.3438383,8,0
270182572.34383845,8,0
270182573.34383863,8,0
270182574.3438388,8,0
270182575.343839,8,0
270182576.34383917,8,0
270182577.34383935,8,0
270182578.3438395,8,0
270182579.3438397,8,0
270182580.3438399,8,0
270182581.34384006,8,0
270182582.3438403,8,0
270182583.3438405,8,0
270182584.34384066,8,0
270182585.34384084,8,0
270182586.343841,8,0
270182587.3438412,8,0
270182588.3438414,8,0
